Date of analysis,Country,Total country population,Level 1,Area,Validity period,From,To,Phase,Number,Percentage
#date+analysis,#country+code,#population,#loc+level1,#loc+area,#period+v_ipc,#date+start,#date+end,#severity+v_ipc,#affected+num,#affected+pct
Aug 2023,SOM,16955266,Lower Shabelle,Sablaale urban,projected,2023-10-01,2023-12-31,all,11017,1.0
Aug 2023,SOM,16955266,Lower Shabelle,Sablaale urban,projected,2023-10-01,2023-12-31,3+,550,0.05
Aug 2023,SOM,16955266,Lower Shabelle,Sablaale urban,projected,2023-10-01,2023-12-31,1,7711,0.7
Aug 2023,SOM,16955266,Lower Shabelle,Sablaale urban,projected,2023-10-01,2023-12-31,2,2754,0.25
Aug 2023,SOM,16955266,Lower Shabelle,Sablaale urban,projected,2023-10-01,2023-12-31,3,550,0.05
Aug 2023,SOM,16955266,Lower Shabelle,Sablaale urban,projected,2023-10-01,2023-12-31,4,0,0
Aug 2023,SOM,16955266,Lower Shabelle,Sablaale urban,projected,2023-10-01,2023-12-31,5,0,0
Aug 2023,SOM,16955266,Lower Shabelle,Afgooye (1),current,2023-08-01,2023-09-30,all,238175,1.0
Aug 2023,SOM,16955266,Lower Shabelle,Afgooye (1),current,2023-08-01,2023-09-30,3+,59543,0.25
Aug 2023,SOM,16955266,Lower Shabelle,Afgooye (1),current,2023-08-01,2023-09-30,1,95270,0.4
Aug 2023,SOM,16955266,Lower Shabelle,Afgooye (1),current,2023-08-01,2023-09-30,2,83361,0.35
Aug 2023,SOM,16955266,Lower Shabelle,Afgooye (1),current,2023-08-01,2023-09-30,3,35726,0.15
Aug 2023,SOM,16955266,Lower Shabelle,Afgooye (1),current,2023-08-01,2023-09-30,4,23817,0.1
Aug 2023,SOM,16955266,Lower Shabelle,Afgooye (1),current,2023-08-01,2023-09-30,5,0,0
Aug 2023,SOM,16955266,Lower Shabelle,Afgooye (1),projected,2023-10-01,2023-12-31,all,238175,1.0
Aug 2023,SOM,16955266,Lower Shabelle,Afgooye (1),projected,2023-10-01,2023-12-31,3+,83361,0.35
Aug 2023,SOM,16955266,Lower Shabelle,Afgooye (1),projected,2023-10-01,2023-12-31,1,83361,0.35
Aug 2023,SOM,16955266,Lower Shabelle,Afgooye (1),projected,2023-10-01,2023-12-31,2,71452,0.3
Aug 2023,SOM,16955266,Lower Shabelle,Afgooye (1),projected,2023-10-01,2023-12-31,3,47635,0.2
Aug 2023,SOM,16955266,Lower Shabelle,Afgooye (1),projected,2023-10-01,2023-12-31,4,35726,0.15
Aug 2023,SOM,16955266,Lower Shabelle,Afgooye (1),projected,2023-10-01,2023-12-31,5,0,0
Aug 2023,SOM,16955266,Lower Shabelle,Marka (3),current,2023-08-01,2023-09-30,all,3884,1.0
Aug 2023,SOM,16955266,Lower Shabelle,Marka (3),current,2023-08-01,2023-09-30,3+,970,0.25
Aug 2023,SOM,16955266,Lower Shabelle,Marka (3),current,2023-08-01,2023-09-30,1,1553,0.4
Aug 2023,SOM,16955266,Lower Shabelle,Marka (3),current,2023-08-01,2023-09-30,2,1359,0.35
Aug 2023,SOM,16955266,Lower Shabelle,Marka (3),current,2023-08-01,2023-09-30,3,582,0.15
Aug 2023,SOM,16955266,Lower Shabelle,Marka (3),current,2023-08-01,2023-09-30,4,388,0.1
Aug 2023,SOM,16955266,Lower Shabelle,Marka (3),current,2023-08-01,2023-09-30,5,0,0
Aug 2023,SOM,16955266,Lower Shabelle,Marka (3),projected,2023-10-01,2023-12-31,all,3884,1.0
Aug 2023,SOM,16955266,Lower Shabelle,Marka (3),projected,2023-10-01,2023-12-31,3+,1358,0.35
Aug 2023,SOM,16955266,Lower Shabelle,Marka (3),projected,2023-10-01,2023-12-31,1,1359,0.35
Aug 2023,SOM,16955266,Lower Shabelle,Marka (3),projected,2023-10-01,2023-12-31,2,1165,0.3
Aug 2023,SOM,16955266,Lower Shabelle,Marka (3),projected,2023-10-01,2023-12-31,3,776,0.2
Aug 2023,SOM,16955266,Lower Shabelle,Marka (3),projected,2023-10-01,2023-12-31,4,582,0.15
Aug 2023,SOM,16955266,Lower Shabelle,Marka (3),projected,2023-10-01,2023-12-31,5,0,0
Aug 2023,SOM,16955266,Lower Shabelle,Kurtunwaarey,current,2023-08-01,2023-09-30,all,32718,1.0
Aug 2023,SOM,16955266,Lower Shabelle,Kurtunwaarey,current,2023-08-01,2023-09-30,3+,8178,0.25
Aug 2023,SOM,16955266,Lower Shabelle,Kurtunwaarey,current,2023-08-01,2023-09-30,1,13087,0.4
Aug 2023,SOM,16955266,Lower Shabelle,Kurtunwaarey,current,2023-08-01,2023-09-30,2,11451,0.35
Aug 2023,SOM,16955266,Lower Shabelle,Kurtunwaarey,current,2023-08-01,2023-09-30,3,6543,0.2
Aug 2023,SOM,16955266,Lower Shabelle,Kurtunwaarey,current,2023-08-01,2023-09-30,4,1635,0.05
Aug 2023,SOM,16955266,Lower Shabelle,Kurtunwaarey,current,2023-08-01,2023-09-30,5,0,0
Aug 2023,SOM,16955266,Lower Shabelle,Kurtunwaarey,projected,2023-10-01,2023-12-31,all,32718,1.0
Aug 2023,SOM,16955266,Lower Shabelle,Kurtunwaarey,projected,2023-10-01,2023-12-31,3+,14722,0.45
Aug 2023,SOM,16955266,Lower Shabelle,Kurtunwaarey,projected,2023-10-01,2023-12-31,1,8179,0.25
Aug 2023,SOM,16955266,Lower Shabelle,Kurtunwaarey,projected,2023-10-01,2023-12-31,2,9815,0.3
Aug 2023,SOM,16955266,Lower Shabelle,Kurtunwaarey,projected,2023-10-01,2023-12-31,3,8179,0.25
Aug 2023,SOM,16955266,Lower Shabelle,Kurtunwaarey,projected,2023-10-01,2023-12-31,4,6543,0.2
Aug 2023,SOM,16955266,Lower Shabelle,Kurtunwaarey,projected,2023-10-01,2023-12-31,5,0,0
Aug 2023,SOM,16955266,Lower Shabelle,Qoryooley (1),current,2023-08-01,2023-09-30,all,9479,1.0
Aug 2023,SOM,16955266,Lower Shabelle,Qoryooley (1),current,2023-08-01,2023-09-30,3+,473,0.05
Aug 2023,SOM,16955266,Lower Shabelle,Qoryooley (1),current,2023-08-01,2023-09-30,1,8057,0.85
Aug 2023,SOM,16955266,Lower Shabelle,Qoryooley (1),current,2023-08-01,2023-09-30,2,947,0.1
Aug 2023,SOM,16955266,Lower Shabelle,Qoryooley (1),current,2023-08-01,2023-09-30,3,473,0.05
Aug 2023,SOM,16955266,Lower Shabelle,Qoryooley (1),current,2023-08-01,2023-09-30,4,0,0
Aug 2023,SOM,16955266,Lower Shabelle,Qoryooley (1),current,2023-08-01,2023-09-30,5,0,0
Aug 2023,SOM,16955266,Lower Shabelle,Qoryooley (1),projected,2023-10-01,2023-12-31,all,9479,1.0
Aug 2023,SOM,16955266,Lower Shabelle,Qoryooley (1),projected,2023-10-01,2023-12-31,3+,0,0
Aug 2023,SOM,16955266,Lower Shabelle,Qoryooley (1),projected,2023-10-01,2023-12-31,1,8057,0.85
Aug 2023,SOM,16955266,Lower Shabelle,Qoryooley (1),projected,2023-10-01,2023-12-31,2,1421,0.15
Aug 2023,SOM,16955266,Lower Shabelle,Qoryooley (1),projected,2023-10-01,2023-12-31,3,0,0
Aug 2023,SOM,16955266,Lower Shabelle,Qoryooley (1),projected,2023-10-01,2023-12-31,4,0,0
Aug 2023,SOM,16955266,Lower Shabelle,Qoryooley (1),projected,2023-10-01,2023-12-31,5,0,0
Aug 2023,SOM,16955266,Lower Shabelle,Baraawe,current,2023-08-01,2023-09-30,all,4307,1.0
Aug 2023,SOM,16955266,Lower Shabelle,Baraawe,current,2023-08-01,2023-09-30,3+,1076,0.25
Aug 2023,SOM,16955266,Lower Shabelle,Baraawe,current,2023-08-01,2023-09-30,1,1722,0.4
Aug 2023,SOM,16955266,Lower Shabelle,Baraawe,current,2023-08-01,2023-09-30,2,1507,0.35
Aug 2023,SOM,16955266,Lower Shabelle,Baraawe,current,2023-08-01,2023-09-30,3,861,0.2
Aug 2023,SOM,16955266,Lower Shabelle,Baraawe,current,2023-08-01,2023-09-30,4,215,0.05
Aug 2023,SOM,16955266,Lower Shabelle,Baraawe,current,2023-08-01,2023-09-30,5,0,0
Aug 2023,SOM,16955266,Lower Shabelle,Baraawe,projected,2023-10-01,2023-12-31,all,4307,1.0
Aug 2023,SOM,16955266,Lower Shabelle,Baraawe,projected,2023-10-01,2023-12-31,3+,1937,0.45
Aug 2023,SOM,16955266,Lower Shabelle,Baraawe,projected,2023-10-01,2023-12-31,1,1076,0.25
Aug 2023,SOM,16955266,Lower Shabelle,Baraawe,projected,2023-10-01,2023-12-31,2,1292,0.3
Aug 2023,SOM,16955266,Lower Shabelle,Baraawe,projected,2023-10-01,2023-12-31,3,1076,0.25
Aug 2023,SOM,16955266,Lower Shabelle,Baraawe,projected,2023-10-01,2023-12-31,4,861,0.2
Aug 2023,SOM,16955266,Lower Shabelle,Baraawe,projected,2023-10-01,2023-12-31,5,0,0
Aug 2023,SOM,16955266,Lower Shabelle,Baraawe idps,current,2023-08-01,2023-09-30,all,11470,1.0
Aug 2023,SOM,16955266,Lower Shabelle,Baraawe idps,current,2023-08-01,2023-09-30,3+,4014,0.35
Aug 2023,SOM,16955266,Lower Shabelle,Baraawe idps,current,2023-08-01,2023-09-30,1,3441,0.3
Aug 2023,SOM,16955266,Lower Shabelle,Baraawe idps,current,2023-08-01,2023-09-30,2,4014,0.35
Aug 2023,SOM,16955266,Lower Shabelle,Baraawe idps,current,2023-08-01,2023-09-30,3,2867,0.25
Aug 2023,SOM,16955266,Lower Shabelle,Baraawe idps,current,2023-08-01,2023-09-30,4,1147,0.1
Aug 2023,SOM,16955266,Lower Shabelle,Baraawe idps,current,2023-08-01,2023-09-30,5,0,0
Aug 2023,SOM,16955266,Lower Shabelle,Baraawe idps,projected,2023-10-01,2023-12-31,all,11470,1.0
Aug 2023,SOM,16955266,Lower Shabelle,Baraawe idps,projected,2023-10-01,2023-12-31,3+,5161,0.45
Aug 2023,SOM,16955266,Lower Shabelle,Baraawe idps,projected,2023-10-01,2023-12-31,1,1720,0.15
Aug 2023,SOM,16955266,Lower Shabelle,Baraawe idps,projected,2023-10-01,2023-12-31,2,4588,0.4
Aug 2023,SOM,16955266,Lower Shabelle,Baraawe idps,projected,2023-10-01,2023-12-31,3,3441,0.3
Aug 2023,SOM,16955266,Lower Shabelle,Baraawe idps,projected,2023-10-01,2023-12-31,4,1720,0.15
Aug 2023,SOM,16955266,Lower Shabelle,Baraawe idps,projected,2023-10-01,2023-12-31,5,0,0
Aug 2023,SOM,16955266,Lower Shabelle,Sablaale (2),current,2023-08-01,2023-09-30,all,82914,1.0
Aug 2023,SOM,16955266,Lower Shabelle,Sablaale (2),current,2023-08-01,2023-09-30,3+,20727,0.25
Aug 2023,SOM,16955266,Lower Shabelle,Sablaale (2),current,2023-08-01,2023-09-30,1,33165,0.4
Aug 2023,SOM,16955266,Lower Shabelle,Sablaale (2),current,2023-08-01,2023-09-30,2,29019,0.35
Aug 2023,SOM,16955266,Lower Shabelle,Sablaale (2),current,2023-08-01,2023-09-30,3,16582,0.2
Aug 2023,SOM,16955266,Lower Shabelle,Sablaale (2),current,2023-08-01,2023-09-30,4,4145,0.05
Aug 2023,SOM,16955266,Lower Shabelle,Sablaale (2),current,2023-08-01,2023-09-30,5,0,0
Aug 2023,SOM,16955266,Lower Shabelle,Sablaale (2),projected,2023-10-01,2023-12-31,all,82914,1.0
Aug 2023,SOM,16955266,Lower Shabelle,Sablaale (2),projected,2023-10-01,2023-12-31,3+,37310,0.45
Aug 2023,SOM,16955266,Lower Shabelle,Sablaale (2),projected,2023-10-01,2023-12-31,1,20728,0.25
Aug 2023,SOM,16955266,Lower Shabelle,Sablaale (2),projected,2023-10-01,2023-12-31,2,24874,0.3
Aug 2023,SOM,16955266,Lower Shabelle,Sablaale (2),projected,2023-10-01,2023-12-31,3,20728,0.25
Aug 2023,SOM,16955266,Lower Shabelle,Sablaale (2),projected,2023-10-01,2023-12-31,4,16582,0.2
Aug 2023,SOM,16955266,Lower Shabelle,Sablaale (2),projected,2023-10-01,2023-12-31,5,0,0
Aug 2023,SOM,16955266,Lower Shabelle,Marka (2),current,2023-08-01,2023-09-30,all,2589,1.0
Aug 2023,SOM,16955266,Lower Shabelle,Marka (2),current,2023-08-01,2023-09-30,3+,646,0.25
Aug 2023,SOM,16955266,Lower Shabelle,Marka (2),current,2023-08-01,2023-09-30,1,1035,0.4
Aug 2023,SOM,16955266,Lower Shabelle,Marka (2),current,2023-08-01,2023-09-30,2,906,0.35
Aug 2023,SOM,16955266,Lower Shabelle,Marka (2),current,2023-08-01,2023-09-30,3,517,0.2
Aug 2023,SOM,16955266,Lower Shabelle,Marka (2),current,2023-08-01,2023-09-30,4,129,0.05
Aug 2023,SOM,16955266,Lower Shabelle,Marka (2),current,2023-08-01,2023-09-30,5,0,0
Aug 2023,SOM,16955266,Lower Shabelle,Marka (2),projected,2023-10-01,2023-12-31,all,2589,1.0
Aug 2023,SOM,16955266,Lower Shabelle,Marka (2),projected,2023-10-01,2023-12-31,3+,388,0.15
Aug 2023,SOM,16955266,Lower Shabelle,Marka (2),projected,2023-10-01,2023-12-31,1,1165,0.45
Aug 2023,SOM,16955266,Lower Shabelle,Marka (2),projected,2023-10-01,2023-12-31,2,1035,0.4
Aug 2023,SOM,16955266,Lower Shabelle,Marka (2),projected,2023-10-01,2023-12-31,3,388,0.15
Aug 2023,SOM,16955266,Lower Shabelle,Marka (2),projected,2023-10-01,2023-12-31,4,0,0
Aug 2023,SOM,16955266,Lower Shabelle,Marka (2),projected,2023-10-01,2023-12-31,5,0,0
Aug 2023,SOM,16955266,Lower Shabelle,Sablaale (5),current,2023-08-01,2023-09-30,all,4518,1.0
Aug 2023,SOM,16955266,Lower Shabelle,Sablaale (5),current,2023-08-01,2023-09-30,3+,225,0.05
Aug 2023,SOM,16955266,Lower Shabelle,Sablaale (5),current,2023-08-01,2023-09-30,1,3840,0.85
Aug 2023,SOM,16955266,Lower Shabelle,Sablaale (5),current,2023-08-01,2023-09-30,2,451,0.1
Aug 2023,SOM,16955266,Lower Shabelle,Sablaale (5),current,2023-08-01,2023-09-30,3,225,0.05
Aug 2023,SOM,16955266,Lower Shabelle,Sablaale (5),current,2023-08-01,2023-09-30,4,0,0
Aug 2023,SOM,16955266,Lower Shabelle,Sablaale (5),current,2023-08-01,2023-09-30,5,0,0
Aug 2023,SOM,16955266,Lower Shabelle,Sablaale (5),projected,2023-10-01,2023-12-31,all,4518,1.0
Aug 2023,SOM,16955266,Lower Shabelle,Sablaale (5),projected,2023-10-01,2023-12-31,3+,0,0
Aug 2023,SOM,16955266,Lower Shabelle,Sablaale (5),projected,2023-10-01,2023-12-31,1,3840,0.85
Aug 2023,SOM,16955266,Lower Shabelle,Sablaale (5),projected,2023-10-01,2023-12-31,2,677,0.15
Aug 2023,SOM,16955266,Lower Shabelle,Sablaale (5),projected,2023-10-01,2023-12-31,3,0,0
Aug 2023,SOM,16955266,Lower Shabelle,Sablaale (5),projected,2023-10-01,2023-12-31,4,0,0
Aug 2023,SOM,16955266,Lower Shabelle,Sablaale (5),projected,2023-10-01,2023-12-31,5,0,0
Aug 2023,SOM,16955266,Lower Shabelle,Baraawe urban,current,2023-08-01,2023-09-30,all,4143,1.0
Aug 2023,SOM,16955266,Lower Shabelle,Baraawe urban,current,2023-08-01,2023-09-30,3+,0,0
Aug 2023,SOM,16955266,Lower Shabelle,Baraawe urban,current,2023-08-01,2023-09-30,1,3314,0.8
Aug 2023,SOM,16955266,Lower Shabelle,Baraawe urban,current,2023-08-01,2023-09-30,2,828,0.2
Aug 2023,SOM,16955266,Lower Shabelle,Baraawe urban,current,2023-08-01,2023-09-30,3,0,0
Aug 2023,SOM,16955266,Lower Shabelle,Baraawe urban,current,2023-08-01,2023-09-30,4,0,0
Aug 2023,SOM,16955266,Lower Shabelle,Baraawe urban,current,2023-08-01,2023-09-30,5,0,0
Aug 2023,SOM,16955266,Lower Shabelle,Baraawe urban,projected,2023-10-01,2023-12-31,all,4143,1.0
Aug 2023,SOM,16955266,Lower Shabelle,Baraawe urban,projected,2023-10-01,2023-12-31,3+,207,0.05
Aug 2023,SOM,16955266,Lower Shabelle,Baraawe urban,projected,2023-10-01,2023-12-31,1,2900,0.7
Aug 2023,SOM,16955266,Lower Shabelle,Baraawe urban,projected,2023-10-01,2023-12-31,2,1035,0.25
Aug 2023,SOM,16955266,Lower Shabelle,Baraawe urban,projected,2023-10-01,2023-12-31,3,207,0.05
Aug 2023,SOM,16955266,Lower Shabelle,Baraawe urban,projected,2023-10-01,2023-12-31,4,0,0
Aug 2023,SOM,16955266,Lower Shabelle,Baraawe urban,projected,2023-10-01,2023-12-31,5,0,0
Aug 2023,SOM,16955266,Lower Shabelle,Afgooye (2),current,2023-08-01,2023-09-30,all,6186,1.0
Aug 2023,SOM,16955266,Lower Shabelle,Afgooye (2),current,2023-08-01,2023-09-30,3+,1546,0.25
Aug 2023,SOM,16955266,Lower Shabelle,Afgooye (2),current,2023-08-01,2023-09-30,1,2474,0.4
Aug 2023,SOM,16955266,Lower Shabelle,Afgooye (2),current,2023-08-01,2023-09-30,2,2165,0.35
Aug 2023,SOM,16955266,Lower Shabelle,Afgooye (2),current,2023-08-01,2023-09-30,3,1237,0.2
Aug 2023,SOM,16955266,Lower Shabelle,Afgooye (2),current,2023-08-01,2023-09-30,4,309,0.05
Aug 2023,SOM,16955266,Lower Shabelle,Afgooye (2),current,2023-08-01,2023-09-30,5,0,0
Aug 2023,SOM,16955266,Lower Shabelle,Afgooye (2),projected,2023-10-01,2023-12-31,all,6186,1.0
Aug 2023,SOM,16955266,Lower Shabelle,Afgooye (2),projected,2023-10-01,2023-12-31,3+,927,0.15
Aug 2023,SOM,16955266,Lower Shabelle,Afgooye (2),projected,2023-10-01,2023-12-31,1,2783,0.45
Aug 2023,SOM,16955266,Lower Shabelle,Afgooye (2),projected,2023-10-01,2023-12-31,2,2474,0.4
Aug 2023,SOM,16955266,Lower Shabelle,Afgooye (2),projected,2023-10-01,2023-12-31,3,927,0.15
Aug 2023,SOM,16955266,Lower Shabelle,Afgooye (2),projected,2023-10-01,2023-12-31,4,0,0
Aug 2023,SOM,16955266,Lower Shabelle,Afgooye (2),projected,2023-10-01,2023-12-31,5,0,0
Aug 2023,SOM,16955266,Lower Shabelle,Qoryooley,current,2023-08-01,2023-09-30,all,65293,1.0
Aug 2023,SOM,16955266,Lower Shabelle,Qoryooley,current,2023-08-01,2023-09-30,3+,16322,0.25
Aug 2023,SOM,16955266,Lower Shabelle,Qoryooley,current,2023-08-01,2023-09-30,1,26117,0.4
Aug 2023,SOM,16955266,Lower Shabelle,Qoryooley,current,2023-08-01,2023-09-30,2,22852,0.35
Aug 2023,SOM,16955266,Lower Shabelle,Qoryooley,current,2023-08-01,2023-09-30,3,13058,0.2
Aug 2023,SOM,16955266,Lower Shabelle,Qoryooley,current,2023-08-01,2023-09-30,4,3264,0.05
Aug 2023,SOM,16955266,Lower Shabelle,Qoryooley,current,2023-08-01,2023-09-30,5,0,0
Aug 2023,SOM,16955266,Lower Shabelle,Qoryooley,projected,2023-10-01,2023-12-31,all,65293,1.0
Aug 2023,SOM,16955266,Lower Shabelle,Qoryooley,projected,2023-10-01,2023-12-31,3+,29381,0.45
Aug 2023,SOM,16955266,Lower Shabelle,Qoryooley,projected,2023-10-01,2023-12-31,1,16323,0.25
Aug 2023,SOM,16955266,Lower Shabelle,Qoryooley,projected,2023-10-01,2023-12-31,2,19587,0.3
Aug 2023,SOM,16955266,Lower Shabelle,Qoryooley,projected,2023-10-01,2023-12-31,3,16323,0.25
Aug 2023,SOM,16955266,Lower Shabelle,Qoryooley,projected,2023-10-01,2023-12-31,4,13058,0.2
Aug 2023,SOM,16955266,Lower Shabelle,Qoryooley,projected,2023-10-01,2023-12-31,5,0,0
Aug 2023,SOM,16955266,Middle Juba,Jilib urban,current,2023-08-01,2023-09-30,all,55108,1.0
Aug 2023,SOM,16955266,Middle Juba,Jilib urban,current,2023-08-01,2023-09-30,3+,13776,0.25
Aug 2023,SOM,16955266,Middle Juba,Jilib urban,current,2023-08-01,2023-09-30,1,27554,0.5
Aug 2023,SOM,16955266,Middle Juba,Jilib urban,current,2023-08-01,2023-09-30,2,13777,0.25
Aug 2023,SOM,16955266,Middle Juba,Jilib urban,current,2023-08-01,2023-09-30,3,11021,0.2
Aug 2023,SOM,16955266,Middle Juba,Jilib urban,current,2023-08-01,2023-09-30,4,2755,0.05
Aug 2023,SOM,16955266,Middle Juba,Jilib urban,current,2023-08-01,2023-09-30,5,0,0
Aug 2023,SOM,16955266,Middle Juba,Jilib urban,projected,2023-10-01,2023-12-31,all,55108,1.0
Aug 2023,SOM,16955266,Middle Juba,Jilib urban,projected,2023-10-01,2023-12-31,3+,24797,0.45
Aug 2023,SOM,16955266,Middle Juba,Jilib urban,projected,2023-10-01,2023-12-31,1,13777,0.25
Aug 2023,SOM,16955266,Middle Juba,Jilib urban,projected,2023-10-01,2023-12-31,2,16532,0.3
Aug 2023,SOM,16955266,Middle Juba,Jilib urban,projected,2023-10-01,2023-12-31,3,19287,0.35
Aug 2023,SOM,16955266,Middle Juba,Jilib urban,projected,2023-10-01,2023-12-31,4,5510,0.1
Aug 2023,SOM,16955266,Middle Juba,Jilib urban,projected,2023-10-01,2023-12-31,5,0,0
Aug 2023,SOM,16955266,Middle Juba,Saakow (2),current,2023-08-01,2023-09-30,all,15132,1.0
Aug 2023,SOM,16955266,Middle Juba,Saakow (2),current,2023-08-01,2023-09-30,3+,3782,0.25
Aug 2023,SOM,16955266,Middle Juba,Saakow (2),current,2023-08-01,2023-09-30,1,6809,0.45
Aug 2023,SOM,16955266,Middle Juba,Saakow (2),current,2023-08-01,2023-09-30,2,4539,0.3
Aug 2023,SOM,16955266,Middle Juba,Saakow (2),current,2023-08-01,2023-09-30,3,3026,0.2
Aug 2023,SOM,16955266,Middle Juba,Saakow (2),current,2023-08-01,2023-09-30,4,756,0.05
Aug 2023,SOM,16955266,Middle Juba,Saakow (2),current,2023-08-01,2023-09-30,5,0,0
Aug 2023,SOM,16955266,Middle Juba,Saakow (2),projected,2023-10-01,2023-12-31,all,15132,1.0
Aug 2023,SOM,16955266,Middle Juba,Saakow (2),projected,2023-10-01,2023-12-31,3+,4539,0.3
Aug 2023,SOM,16955266,Middle Juba,Saakow (2),projected,2023-10-01,2023-12-31,1,3783,0.25
Aug 2023,SOM,16955266,Middle Juba,Saakow (2),projected,2023-10-01,2023-12-31,2,6809,0.45
Aug 2023,SOM,16955266,Middle Juba,Saakow (2),projected,2023-10-01,2023-12-31,3,3783,0.25
Aug 2023,SOM,16955266,Middle Juba,Saakow (2),projected,2023-10-01,2023-12-31,4,756,0.05
Aug 2023,SOM,16955266,Middle Juba,Saakow (2),projected,2023-10-01,2023-12-31,5,0,0
Aug 2023,SOM,16955266,Middle Juba,Saakow urban,current,2023-08-01,2023-09-30,all,22167,1.0
Aug 2023,SOM,16955266,Middle Juba,Saakow urban,current,2023-08-01,2023-09-30,3+,5541,0.25
Aug 2023,SOM,16955266,Middle Juba,Saakow urban,current,2023-08-01,2023-09-30,1,11083,0.5
Aug 2023,SOM,16955266,Middle Juba,Saakow urban,current,2023-08-01,2023-09-30,2,5541,0.25
Aug 2023,SOM,16955266,Middle Juba,Saakow urban,current,2023-08-01,2023-09-30,3,4433,0.2
Aug 2023,SOM,16955266,Middle Juba,Saakow urban,current,2023-08-01,2023-09-30,4,1108,0.05
Aug 2023,SOM,16955266,Middle Juba,Saakow urban,current,2023-08-01,2023-09-30,5,0,0
Aug 2023,SOM,16955266,Middle Juba,Saakow urban,projected,2023-10-01,2023-12-31,all,22167,1.0
Aug 2023,SOM,16955266,Middle Juba,Saakow urban,projected,2023-10-01,2023-12-31,3+,9974,0.45
Aug 2023,SOM,16955266,Middle Juba,Saakow urban,projected,2023-10-01,2023-12-31,1,5541,0.25
Aug 2023,SOM,16955266,Middle Juba,Saakow urban,projected,2023-10-01,2023-12-31,2,6650,0.3
Aug 2023,SOM,16955266,Middle Juba,Saakow urban,projected,2023-10-01,2023-12-31,3,7758,0.35
Aug 2023,SOM,16955266,Middle Juba,Saakow urban,projected,2023-10-01,2023-12-31,4,2216,0.1
Aug 2023,SOM,16955266,Middle Juba,Saakow urban,projected,2023-10-01,2023-12-31,5,0,0
Aug 2023,SOM,16955266,Middle Juba,Bu'aale (3),current,2023-08-01,2023-09-30,all,4388,1.0
Aug 2023,SOM,16955266,Middle Juba,Bu'aale (3),current,2023-08-01,2023-09-30,3+,658,0.15
Aug 2023,SOM,16955266,Middle Juba,Bu'aale (3),current,2023-08-01,2023-09-30,1,2413,0.55
Aug 2023,SOM,16955266,Middle Juba,Bu'aale (3),current,2023-08-01,2023-09-30,2,1316,0.3
Aug 2023,SOM,16955266,Middle Juba,Bu'aale (3),current,2023-08-01,2023-09-30,3,658,0.15
Aug 2023,SOM,16955266,Middle Juba,Bu'aale (3),current,2023-08-01,2023-09-30,4,0,0
Aug 2023,SOM,16955266,Middle Juba,Bu'aale (3),current,2023-08-01,2023-09-30,5,0,0
Aug 2023,SOM,16955266,Middle Juba,Bu'aale (3),projected,2023-10-01,2023-12-31,all,4388,1.0
Aug 2023,SOM,16955266,Middle Juba,Bu'aale (3),projected,2023-10-01,2023-12-31,3+,877,0.2
Aug 2023,SOM,16955266,Middle Juba,Bu'aale (3),projected,2023-10-01,2023-12-31,1,1316,0.3
Aug 2023,SOM,16955266,Middle Juba,Bu'aale (3),projected,2023-10-01,2023-12-31,2,2194,0.5
Aug 2023,SOM,16955266,Middle Juba,Bu'aale (3),projected,2023-10-01,2023-12-31,3,877,0.2
Aug 2023,SOM,16955266,Middle Juba,Bu'aale (3),projected,2023-10-01,2023-12-31,4,0,0
Aug 2023,SOM,16955266,Middle Juba,Bu'aale (3),projected,2023-10-01,2023-12-31,5,0,0
Aug 2023,SOM,16955266,Middle Juba,Bu'aale urban,current,2023-08-01,2023-09-30,all,80504,1.0
Aug 2023,SOM,16955266,Middle Juba,Bu'aale urban,current,2023-08-01,2023-09-30,3+,20125,0.25
Aug 2023,SOM,16955266,Middle Juba,Bu'aale urban,current,2023-08-01,2023-09-30,1,40252,0.5
Aug 2023,SOM,16955266,Middle Juba,Bu'aale urban,current,2023-08-01,2023-09-30,2,20126,0.25
Aug 2023,SOM,16955266,Middle Juba,Bu'aale urban,current,2023-08-01,2023-09-30,3,16100,0.2
Aug 2023,SOM,16955266,Middle Juba,Bu'aale urban,current,2023-08-01,2023-09-30,4,4025,0.05
Aug 2023,SOM,16955266,Middle Juba,Bu'aale urban,current,2023-08-01,2023-09-30,5,0,0
Aug 2023,SOM,16955266,Middle Juba,Bu'aale urban,projected,2023-10-01,2023-12-31,all,80504,1.0
Aug 2023,SOM,16955266,Middle Juba,Bu'aale urban,projected,2023-10-01,2023-12-31,3+,36226,0.45
Aug 2023,SOM,16955266,Middle Juba,Bu'aale urban,projected,2023-10-01,2023-12-31,1,20126,0.25
Aug 2023,SOM,16955266,Middle Juba,Bu'aale urban,projected,2023-10-01,2023-12-31,2,24151,0.3
Aug 2023,SOM,16955266,Middle Juba,Bu'aale urban,projected,2023-10-01,2023-12-31,3,28176,0.35
Aug 2023,SOM,16955266,Middle Juba,Bu'aale urban,projected,2023-10-01,2023-12-31,4,8050,0.1
Aug 2023,SOM,16955266,Middle Juba,Bu'aale urban,projected,2023-10-01,2023-12-31,5,0,0
Aug 2023,SOM,16955266,Middle Juba,Jilib (2),current,2023-08-01,2023-09-30,all,23207,1.0
Aug 2023,SOM,16955266,Middle Juba,Jilib (2),current,2023-08-01,2023-09-30,3+,3481,0.15
