Date of analysis,Country,Total country population,Level 1,Area,Validity period,From,To,Phase,Number,Percentage
#date+analysis,#country+code,#population,#loc+level1,#loc+area,#period+v_ipc,#date+start,#date+end,#severity+v_ipc,#affected+num,#affected+pct
Aug 2023,SOM,16955266,Lower Juba,Badhaadhe,current,2023-08-01,2023-09-30,5,0,0
Aug 2023,SOM,16955266,Lower Juba,Badhaadhe,projected,2023-10-01,2023-12-31,all,27622,1.0
Aug 2023,SOM,16955266,Lower Juba,Badhaadhe,projected,2023-10-01,2023-12-31,3+,6905,0.25
Aug 2023,SOM,16955266,Lower Juba,Badhaadhe,projected,2023-10-01,2023-12-31,1,12429,0.45
Aug 2023,SOM,16955266,Lower Juba,Badhaadhe,projected,2023-10-01,2023-12-31,2,8286,0.3
Aug 2023,SOM,16955266,Lower Juba,Badhaadhe,projected,2023-10-01,2023-12-31,3,6905,0.25
Aug 2023,SOM,16955266,Lower Juba,Badhaadhe,projected,2023-10-01,2023-12-31,4,0,0
Aug 2023,SOM,16955266,Lower Juba,Badhaadhe,projected,2023-10-01,2023-12-31,5,0,0
Aug 2023,SOM,16955266,Lower Juba,Kismayo URBAN,current,2023-08-01,2023-09-30,all,24903,1.0
Aug 2023,SOM,16955266,Lower Juba,Kismayo URBAN,current,2023-08-01,2023-09-30,3+,6225,0.25
Aug 2023,SOM,16955266,Lower Juba,Kismayo URBAN,current,2023-08-01,2023-09-30,1,12451,0.5
Aug 2023,SOM,16955266,Lower Juba,Kismayo URBAN,current,2023-08-01,2023-09-30,2,6225,0.25
Aug 2023,SOM,16955266,Lower Juba,Kismayo URBAN,current,2023-08-01,2023-09-30,3,4980,0.2
Aug 2023,SOM,16955266,Lower Juba,Kismayo URBAN,current,2023-08-01,2023-09-30,4,1245,0.05
Aug 2023,SOM,16955266,Lower Juba,Kismayo URBAN,current,2023-08-01,2023-09-30,5,0,0
Aug 2023,SOM,16955266,Lower Juba,Kismayo URBAN,projected,2023-10-01,2023-12-31,all,24903,1.0
Aug 2023,SOM,16955266,Lower Juba,Kismayo URBAN,projected,2023-10-01,2023-12-31,3+,11206,0.45
Aug 2023,SOM,16955266,Lower Juba,Kismayo URBAN,projected,2023-10-01,2023-12-31,1,6225,0.25
Aug 2023,SOM,16955266,Lower Juba,Kismayo URBAN,projected,2023-10-01,2023-12-31,2,7470,0.3
Aug 2023,SOM,16955266,Lower Juba,Kismayo URBAN,projected,2023-10-01,2023-12-31,3,8716,0.35
Aug 2023,SOM,16955266,Lower Juba,Kismayo URBAN,projected,2023-10-01,2023-12-31,4,2490,0.1
Aug 2023,SOM,16955266,Lower Juba,Kismayo URBAN,projected,2023-10-01,2023-12-31,5,0,0
Aug 2023,SOM,16955266,Lower Juba,Afmadow idps rural,current,2023-08-01,2023-09-30,all,4224,1.0
Aug 2023,SOM,16955266,Lower Juba,Afmadow idps rural,current,2023-08-01,2023-09-30,3+,422,0.1
Aug 2023,SOM,16955266,Lower Juba,Afmadow idps rural,current,2023-08-01,2023-09-30,1,2745,0.65
Aug 2023,SOM,16955266,Lower Juba,Afmadow idps rural,current,2023-08-01,2023-09-30,2,1056,0.25
Aug 2023,SOM,16955266,Lower Juba,Afmadow idps rural,current,2023-08-01,2023-09-30,3,422,0.1
Aug 2023,SOM,16955266,Lower Juba,Afmadow idps rural,current,2023-08-01,2023-09-30,4,0,0
Aug 2023,SOM,16955266,Lower Juba,Afmadow idps rural,current,2023-08-01,2023-09-30,5,0,0
Aug 2023,SOM,16955266,Lower Juba,Afmadow idps rural,projected,2023-10-01,2023-12-31,all,4224,1.0
Aug 2023,SOM,16955266,Lower Juba,Afmadow idps rural,projected,2023-10-01,2023-12-31,3+,844,0.2
Aug 2023,SOM,16955266,Lower Juba,Afmadow idps rural,projected,2023-10-01,2023-12-31,1,2323,0.55
Aug 2023,SOM,16955266,Lower Juba,Afmadow idps rural,projected,2023-10-01,2023-12-31,2,1056,0.25
Aug 2023,SOM,16955266,Lower Juba,Afmadow idps rural,projected,2023-10-01,2023-12-31,3,633,0.15
Aug 2023,SOM,16955266,Lower Juba,Afmadow idps rural,projected,2023-10-01,2023-12-31,4,211,0.05
Aug 2023,SOM,16955266,Lower Juba,Afmadow idps rural,projected,2023-10-01,2023-12-31,5,0,0
Aug 2023,SOM,16955266,Lower Juba,Kismaayo,current,2023-08-01,2023-09-30,all,46891,1.0
Aug 2023,SOM,16955266,Lower Juba,Kismaayo,current,2023-08-01,2023-09-30,3+,7033,0.15
Aug 2023,SOM,16955266,Lower Juba,Kismaayo,current,2023-08-01,2023-09-30,1,30479,0.65
Aug 2023,SOM,16955266,Lower Juba,Kismaayo,current,2023-08-01,2023-09-30,2,9378,0.2
Aug 2023,SOM,16955266,Lower Juba,Kismaayo,current,2023-08-01,2023-09-30,3,7033,0.15
Aug 2023,SOM,16955266,Lower Juba,Kismaayo,current,2023-08-01,2023-09-30,4,0,0
Aug 2023,SOM,16955266,Lower Juba,Kismaayo,current,2023-08-01,2023-09-30,5,0,0
Aug 2023,SOM,16955266,Lower Juba,Kismaayo,projected,2023-10-01,2023-12-31,all,46891,1.0
Aug 2023,SOM,16955266,Lower Juba,Kismaayo,projected,2023-10-01,2023-12-31,3+,11722,0.25
Aug 2023,SOM,16955266,Lower Juba,Kismaayo,projected,2023-10-01,2023-12-31,1,21100,0.45
Aug 2023,SOM,16955266,Lower Juba,Kismaayo,projected,2023-10-01,2023-12-31,2,14067,0.3
Aug 2023,SOM,16955266,Lower Juba,Kismaayo,projected,2023-10-01,2023-12-31,3,11722,0.25
Aug 2023,SOM,16955266,Lower Juba,Kismaayo,projected,2023-10-01,2023-12-31,4,0,0
Aug 2023,SOM,16955266,Lower Juba,Kismaayo,projected,2023-10-01,2023-12-31,5,0,0
Aug 2023,SOM,16955266,Lower Juba,Jamaame (1),current,2023-08-01,2023-09-30,all,2348,1.0
Aug 2023,SOM,16955266,Lower Juba,Jamaame (1),current,2023-08-01,2023-09-30,3+,352,0.15
Aug 2023,SOM,16955266,Lower Juba,Jamaame (1),current,2023-08-01,2023-09-30,1,1526,0.65
Aug 2023,SOM,16955266,Lower Juba,Jamaame (1),current,2023-08-01,2023-09-30,2,469,0.2
Aug 2023,SOM,16955266,Lower Juba,Jamaame (1),current,2023-08-01,2023-09-30,3,352,0.15
Aug 2023,SOM,16955266,Lower Juba,Jamaame (1),current,2023-08-01,2023-09-30,4,0,0
Aug 2023,SOM,16955266,Lower Juba,Jamaame (1),current,2023-08-01,2023-09-30,5,0,0
Aug 2023,SOM,16955266,Lower Juba,Jamaame (1),projected,2023-10-01,2023-12-31,all,2348,1.0
Aug 2023,SOM,16955266,Lower Juba,Jamaame (1),projected,2023-10-01,2023-12-31,3+,234,0.1
Aug 2023,SOM,16955266,Lower Juba,Jamaame (1),projected,2023-10-01,2023-12-31,1,1408,0.6
Aug 2023,SOM,16955266,Lower Juba,Jamaame (1),projected,2023-10-01,2023-12-31,2,704,0.3
Aug 2023,SOM,16955266,Lower Juba,Jamaame (1),projected,2023-10-01,2023-12-31,3,234,0.1
Aug 2023,SOM,16955266,Lower Juba,Jamaame (1),projected,2023-10-01,2023-12-31,4,0,0
Aug 2023,SOM,16955266,Lower Juba,Jamaame (1),projected,2023-10-01,2023-12-31,5,0,0
Aug 2023,SOM,16955266,Lower Juba,Badhaadhe (2),current,2023-08-01,2023-09-30,all,27622,1.0
Aug 2023,SOM,16955266,Lower Juba,Badhaadhe (2),current,2023-08-01,2023-09-30,3+,4143,0.15
Aug 2023,SOM,16955266,Lower Juba,Badhaadhe (2),current,2023-08-01,2023-09-30,1,17954,0.65
Aug 2023,SOM,16955266,Lower Juba,Badhaadhe (2),current,2023-08-01,2023-09-30,2,5524,0.2
Aug 2023,SOM,16955266,Lower Juba,Badhaadhe (2),current,2023-08-01,2023-09-30,3,4143,0.15
Aug 2023,SOM,16955266,Lower Juba,Badhaadhe (2),current,2023-08-01,2023-09-30,4,0,0
Aug 2023,SOM,16955266,Lower Juba,Badhaadhe (2),current,2023-08-01,2023-09-30,5,0,0
Aug 2023,SOM,16955266,Lower Juba,Badhaadhe (2),projected,2023-10-01,2023-12-31,all,27622,1.0
Aug 2023,SOM,16955266,Lower Juba,Badhaadhe (2),projected,2023-10-01,2023-12-31,3+,2762,0.1
Aug 2023,SOM,16955266,Lower Juba,Badhaadhe (2),projected,2023-10-01,2023-12-31,1,16573,0.6
Aug 2023,SOM,16955266,Lower Juba,Badhaadhe (2),projected,2023-10-01,2023-12-31,2,8286,0.3
Aug 2023,SOM,16955266,Lower Juba,Badhaadhe (2),projected,2023-10-01,2023-12-31,3,2762,0.1
Aug 2023,SOM,16955266,Lower Juba,Badhaadhe (2),projected,2023-10-01,2023-12-31,4,0,0
Aug 2023,SOM,16955266,Lower Juba,Badhaadhe (2),projected,2023-10-01,2023-12-31,5,0,0
Aug 2023,SOM,16955266,Lower Juba,Afmadow (2),current,2023-08-01,2023-09-30,all,36960,1.0
